,ZCTA,Total population,Total population Male,Total population Female,Total population Sex ratio (males per 100 females),Total population Under 5 years,Total population 5 to 9 years,Total population 10 to 14 years,Total population 15 to 19 years,Total population 20 to 24 years,Total population 25 to 34 years,Total population 35 to 44 years,Total population 45 to 54 years,Total population 55 to 59 years,Total population 60 to 64 years,Total population 65 to 74 years,Total population 75 to 84 years,Total population 85 years and over,Total population Median age (years),Total population Under 18 years,Total population 16 years and over,Total population 18 years and over,Total population 21 years and over,Total population 62 years and over,Total population 65 years and over,Total population 18 years and over.1,Total population 18 years and over Male,Total population 18 years and over Female,Total population 18 years and over Sex ratio (males per 100 females),Total population 65 years and over.1,Total population 65 years and over Male,Total population 65 years and over Female,Total population 65 years and over Sex ratio (males per 100 females),Total population One race,Total population Two or More Races,Total population One race.1,Total population One race White,Total population One race Black or African American,Total population One race American Indian and Alaska Native,Total population One race American Indian and Alaska Native Cherokee tribal grouping,Total population One race American Indian and Alaska Native Chippewa tribal grouping,Total population One race American Indian and Alaska Native Navajo tribal grouping,Total population One race American Indian and Alaska Native Sioux tribal grouping,Total population One race Asian,Total population One race Asian Asian Indian,Total population One race Asian Chinese,Total population One race Asian Filipino,Total population One race Asian Japanese,Total population One race Asian Korean,Total population One race Asian Vietnamese,Total population One race Asian Other Asian,Total population One race Native Hawaiian and Other Pacific Islander,Total population One race Native Hawaiian and Other Pacific Islander Chamorro,Total population One race Native Hawaiian and Other Pacific Islander Native Hawaiian,Total population One race Native Hawaiian and Other Pacific Islander Samoan,Total population One race Native Hawaiian and Other Pacific Islander Other Native Hawaiian and Other Pacific Islander,Total population One race Some Other Race,Total population Two or More Races.1,Total population Two or More Races White and Black or African American,Total population Two or More Races White and American Indian and Alaska Native,Total population Two or More Races White and Asian,Total population Two or More Races White and Some Other Race,Total population Two or More Races Black or African American and American Indian and Alaska Native,Total population Two or More Races Black or African American and Some Other Race,Total population White,Total population Black or African American,Total population American Indian and Alaska Native,Total population Asian,Total population Native Hawaiian and Other Pacific Islander,Total population Some Other Race,Total population Hispanic or Latino (of any race),Total population Hispanic or Latino (of any race) Mexican,Total population Hispanic or Latino (of any race) Puerto Rican,Total population Hispanic or Latino (of any race) Cuban,Total population Hispanic or Latino (of any race) Other Hispanic or Latino,Total population Not Hispanic or Latino,Total population Not Hispanic or Latino White alone,Total population Not Hispanic or Latino Black or African American alone,Total population Not Hispanic or Latino American Indian and Alaska Native alone,Total population Not Hispanic or Latino Asian alone,Total population Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Total population Not Hispanic or Latino Some Other Race alone,Total population Not Hispanic or Latino Two or More Races,Total population Not Hispanic or Latino Two or More Races Two races including Some Other Race,"Total population Not Hispanic or Latino Two or More Races Two races excluding Some Other Race, and three or more races","Citizen, 18 and over population","Citizen, 18 and over population Male","Citizen, 18 and over population Female"
223,80649,347,189,158,119.6,6,3,1,4,8,76,12,38,6,67,93,15,18,61.4,14,335,333,333,142,126,333,183,150,122.0,126,98,28,350.0,334,13,334,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,347,0,0,0,0,13,20,19,1,0,0,327,327,0,0,0,0,0,0,0,0,333,183,150
224,80650,"1,896",859,"1,037",82.8,71,68,247,109,103,217,238,247,56,198,221,78,43,41.4,451,"1,478","1,445","1,391",530,342,"1,445",633,812,78.0,342,102,240,42.5,"1,662",234,"1,662","1,611",0,3,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,38,234,69,25,45,80,0,0,"1,845",69,43,55,0,133,213,131,0,0,82,"1,683","1,552",0,0,10,0,0,121,3,118,"1,419",618,801
225,80651,"4,441","2,161","2,280",94.8,211,261,244,261,252,713,381,594,429,332,503,205,55,44.2,844,"3,659","3,597","3,441",946,763,"3,597","1,742","1,855",93.9,763,372,391,95.1,"3,921",520,"3,921","3,478",24,0,0,0,0,0,10,0,0,0,3,0,7,0,0,0,0,0,0,409,520,0,128,2,238,30,0,"3,871",78,250,42,0,745,"1,495","1,403",13,0,79,"2,946","2,688",18,0,10,0,0,230,60,170,"3,488","1,692","1,796"
226,80652,342,180,162,111.1,30,86,25,0,0,62,7,69,0,0,11,13,39,31.7,141,201,201,201,63,63,201,116,85,136.5,63,52,11,472.7,262,80,262,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,80,0,0,342,0,0,0,0,80,80,80,0,0,0,262,262,0,0,0,0,0,0,0,0,201,116,85
227,80653,877,453,424,106.8,12,45,76,65,46,55,136,157,41,70,120,50,4,45.1,185,727,692,668,197,174,692,378,314,120.4,174,102,72,141.7,850,27,850,836,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,0,12,11,4,0,0,863,2,13,11,0,15,92,81,3,0,8,785,762,2,0,0,0,11,10,0,10,690,376,314
228,80654,"2,857","1,433","1,424",100.6,182,256,198,112,127,366,366,223,334,193,439,56,5,40.4,733,"2,192","2,124","2,095",609,500,"2,124","1,088","1,036",105.0,500,254,246,103.3,"2,414",443,"2,414","2,300",1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,443,20,42,0,381,0,0,"2,743",21,54,0,0,482,615,564,0,0,51,"2,242","2,169",0,4,0,0,20,49,4,45,"1,985","1,038",947
229,80701,"17,085","8,858","8,227",107.7,"1,258","1,414","1,187","1,161","1,043","2,361","2,203","1,937","1,244",844,"1,372",772,289,36.0,"4,592","12,891","12,493","11,998","2,861","2,433","12,493","6,526","5,967",109.4,"2,433","1,047","1,386",75.5,"14,003","3,082","14,003","11,294",894,487,4,0,117,55,103,51,18,34,0,0,0,0,21,21,0,0,0,"1,204","3,082",228,203,114,"2,506",1,0,"14,370","1,148",696,217,21,"3,740","7,467","5,470",101,12,"1,884","9,618","8,177",894,17,103,21,0,406,24,382,"10,860","5,629","5,231"
230,80705,882,450,432,104.2,56,66,46,61,162,112,80,98,44,67,37,46,7,30.9,222,706,660,621,125,90,660,351,309,113.6,90,41,49,83.7,781,101,781,739,0,14,0,0,13,0,9,0,2,0,4,0,3,0,0,0,0,0,0,19,101,0,0,6,81,0,0,840,0,28,15,0,114,403,309,0,0,94,479,461,0,1,9,0,0,8,2,6,595,315,280
231,80720,"2,305","1,218","1,087",112.1,114,124,123,111,185,241,349,273,105,177,266,114,123,41.1,424,"1,920","1,881","1,808",593,503,"1,881",984,897,109.7,503,221,282,78.4,"2,175",130,"2,175","2,053",48,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,66,130,20,18,12,42,20,5,"2,158",99,51,28,0,120,282,259,0,6,17,"2,023","1,917",20,0,8,0,8,70,1,69,"1,839",952,887
232,80721,304,165,139,118.7,0,63,68,0,45,63,0,27,22,0,9,7,0,22.5,131,173,173,173,16,16,173,79,94,84.0,16,4,12,33.3,211,93,211,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,93,0,0,0,93,0,0,227,0,0,0,0,170,170,93,0,0,77,134,134,0,0,0,0,0,0,0,0,141,60,81
233,80722,414,223,191,116.8,2,30,40,41,26,50,76,9,18,67,37,18,0,38.8,113,306,301,301,87,55,301,161,140,115.0,55,25,30,83.3,407,7,407,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,2,0,0,414,0,5,0,0,2,10,10,0,0,0,404,397,0,0,0,0,0,7,2,5,301,161,140
234,80723,"6,727","3,491","3,236",107.9,519,649,275,484,542,882,706,791,418,306,532,513,110,35.3,"1,704","5,202","5,023","4,710","1,328","1,155","5,023","2,528","2,495",101.3,"1,155",553,602,91.9,"5,890",837,"5,890","5,714",33,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,837,0,41,80,650,0,66,"6,485",99,83,80,0,817,"2,026","1,757",0,0,269,"4,701","4,459",33,18,0,0,8,183,66,117,"4,770","2,331","2,439"
235,80726,393,216,177,122.0,14,3,9,43,27,7,10,91,41,77,37,32,2,54.3,48,360,345,324,112,71,345,189,156,121.2,71,35,36,97.2,383,10,383,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,393,0,0,0,0,10,52,12,39,0,1,341,331,0,0,0,0,0,10,10,0,345,189,156
236,80727,506,284,222,127.9,21,48,60,33,3,59,68,74,12,36,55,24,13,37.6,158,357,348,344,121,92,348,183,165,110.9,92,33,59,55.9,457,49,457,429,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,49,0,7,0,42,0,0,478,0,14,0,0,63,124,124,0,0,0,382,359,0,7,0,0,0,16,9,7,290,155,135
237,80728,"1,151",592,559,105.9,65,40,145,76,74,112,108,171,67,65,119,85,24,41.0,287,897,864,806,259,228,864,470,394,119.3,228,126,102,123.5,933,218,933,885,0,18,0,0,0,12,19,0,0,0,0,0,0,19,0,0,0,0,0,11,218,12,97,17,89,0,0,"1,103",12,118,36,0,103,222,98,0,0,124,929,833,0,18,19,0,0,59,0,59,853,459,394
238,80729,403,206,197,104.6,20,18,10,11,15,51,33,38,21,51,42,71,22,57.7,54,353,349,342,167,135,349,188,161,116.8,135,66,69,95.7,383,20,383,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,18,0,0,0,0,0,402,20,2,0,0,1,1,1,0,0,0,402,382,0,0,0,0,0,20,0,20,349,188,161
239,80731,"1,397",629,768,81.9,43,103,109,77,59,103,184,209,101,94,144,132,39,46.1,290,"1,113","1,107","1,058",366,315,"1,107",535,572,93.5,315,127,188,67.6,"1,290",107,"1,290","1,285",0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,107,4,23,4,69,0,0,"1,392",4,23,9,7,69,110,81,0,0,29,"1,287","1,263",0,0,5,0,0,19,4,15,"1,077",516,561
240,80732,24,4,20,20.0,0,0,12,0,0,0,0,5,0,0,7,0,0,33.5,12,12,12,12,7,7,12,0,12,-,7,0,7,-,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,12,0,12
241,80733,565,263,302,87.1,23,38,32,36,50,61,45,54,83,61,69,12,1,41.9,122,459,443,423,110,82,443,213,230,92.6,82,53,29,182.8,529,36,529,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0,2,0,34,0,0,557,0,2,0,0,42,58,52,2,0,4,507,500,0,0,0,0,5,2,0,2,434,204,230
242,80734,"3,057","1,578","1,479",106.7,287,225,187,157,165,279,526,341,132,224,233,163,138,39.8,792,"2,324","2,265","2,112",680,534,"2,265","1,228","1,037",118.4,534,250,284,88.0,"2,790",267,"2,790","2,622",6,91,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,67,267,0,35,0,232,0,0,"2,889",6,126,4,0,299,973,878,0,0,95,"2,084","2,033",6,0,4,0,12,29,0,29,"1,992","1,104",888
243,80735,323,164,159,103.1,8,12,22,34,11,18,54,31,7,55,49,18,4,45.2,71,269,252,239,101,71,252,131,121,108.3,71,32,39,82.1,309,14,309,296,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,14,0,0,310,3,0,0,0,24,47,47,0,0,0,276,268,3,0,0,0,5,0,0,0,232,119,113
244,80736,553,288,265,108.7,21,6,52,60,50,38,89,81,43,35,51,21,6,42.2,117,462,436,412,95,78,436,232,204,113.7,78,43,35,122.9,529,24,529,495,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,0,0,0,21,0,3,516,7,0,0,0,54,131,118,0,0,13,422,408,4,0,0,0,10,0,0,0,436,232,204
245,80737,"1,651",817,834,98.0,137,74,96,116,50,145,238,157,105,137,224,107,65,43.5,402,"1,309","1,249","1,215",506,396,"1,249",610,639,95.5,396,178,218,81.7,"1,569",82,"1,569","1,511",12,3,3,0,0,0,20,0,13,0,2,5,0,0,0,0,0,0,0,23,82,0,37,0,45,0,0,"1,593",12,40,20,0,68,248,207,8,4,29,"1,403","1,333",12,3,20,0,9,26,3,23,"1,224",605,619
246,80740,119,69,50,138.0,4,12,11,10,6,1,18,6,4,12,19,16,0,40.4,32,92,87,76,43,35,87,54,33,163.6,35,22,13,169.2,117,2,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,119,0,1,0,0,1,0,0,0,0,0,119,117,0,0,0,0,0,2,1,1,87,54,33
247,80741,"1,011",589,422,139.6,21,42,60,68,203,72,84,113,84,89,128,37,10,40.0,157,879,854,804,225,175,854,492,362,135.9,175,78,97,80.4,988,23,988,936,15,4,0,0,4,0,32,0,0,18,0,0,14,0,0,0,0,0,0,1,23,0,14,0,8,0,0,959,15,19,33,0,9,87,87,0,0,0,924,858,15,4,32,0,0,15,0,15,827,481,346
248,80742,224,123,101,121.8,2,7,2,4,8,34,18,17,13,46,37,27,9,61.3,13,212,211,209,99,73,211,119,92,129.3,73,44,29,151.7,219,5,219,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,1,0,4,0,0,217,0,1,0,0,11,0,0,0,0,0,224,212,0,0,0,0,7,5,4,1,211,119,92
249,80743,"1,259",631,628,100.5,85,106,83,79,46,209,142,133,90,52,136,76,22,36.0,346,963,913,897,265,234,913,467,446,104.7,234,120,114,105.3,"1,219",40,"1,219","1,191",26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,40,0,12,0,28,0,0,"1,231",26,12,0,2,28,98,79,0,0,19,"1,161","1,121",26,0,0,2,0,12,0,12,893,458,435
250,80744,449,243,206,118.0,28,13,33,41,24,36,38,38,30,55,67,33,13,48.9,91,371,358,322,145,113,358,201,157,128.0,113,67,46,145.7,421,28,421,357,0,0,0,0,0,0,8,0,2,5,1,0,0,0,0,0,0,0,0,56,28,0,3,1,18,0,0,385,0,9,9,0,80,101,85,11,0,5,348,331,0,0,8,0,5,4,0,4,325,177,148
251,80745,68,36,32,112.5,0,0,4,6,0,0,2,27,5,2,22,0,0,54.4,10,64,58,58,23,22,58,32,26,123.1,22,8,14,57.1,68,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,9,9,0,0,0,59,59,0,0,0,0,0,0,0,0,58,32,26
252,80746,61,19,42,45.2,6,0,0,5,17,2,6,9,1,3,2,4,6,44.1,11,55,50,49,15,12,50,13,37,35.1,12,7,5,140.0,61,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,28,28,0,0,0,33,33,0,0,0,0,0,0,0,0,42,11,31
253,80747,468,253,215,117.7,41,29,24,9,24,79,74,32,62,38,40,14,2,37.8,103,368,365,365,76,56,365,190,175,108.6,56,27,29,93.1,466,2,466,449,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,449,0,2,7,0,12,29,6,0,0,23,439,426,0,0,7,0,6,0,0,0,361,189,172
254,80749,285,145,140,103.6,25,1,10,25,0,50,23,28,20,17,55,24,7,52.2,38,247,247,224,96,86,247,134,113,118.6,86,48,38,126.3,209,76,209,193,0,0,0,0,0,0,10,0,0,0,2,8,0,0,0,0,0,0,0,6,76,0,8,22,46,0,0,269,0,8,32,0,52,116,74,0,0,42,169,138,0,0,10,0,0,21,11,10,247,134,113
255,80750,201,130,71,183.1,9,14,4,5,0,10,32,5,12,10,33,67,0,64.0,27,174,174,169,110,100,174,103,71,145.1,100,57,43,132.6,165,36,165,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,0,0,0,23,0,0,183,13,13,0,0,41,22,8,0,0,14,179,143,0,0,0,0,0,36,23,13,174,103,71
256,80751,"17,263","9,421","7,842",120.1,"1,004",870,867,"1,086","1,074","2,850","2,382","1,822",837,"1,190","1,789","1,083",409,38.2,"3,265","14,294","13,998","13,206","3,905","3,281","13,998","7,705","6,293",122.4,"3,281","1,488","1,793",83.0,"15,302","1,961","15,302","13,939",219,70,0,0,10,0,66,0,4,0,40,22,0,0,245,0,0,0,245,763,"1,961",417,198,74,"1,139",0,0,"15,815",636,323,236,245,"2,017","3,045","2,588",69,0,388,"14,218","12,963",219,62,66,245,31,632,0,632,"13,657","7,537","6,120"
257,80754,138,81,57,142.1,5,7,13,6,2,18,10,17,7,2,28,20,3,53.0,28,111,110,107,53,51,110,61,49,124.5,51,27,24,112.5,135,3,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,138,0,3,0,0,0,7,7,0,0,0,131,128,0,0,0,0,0,3,0,3,110,61,49
258,80755,127,60,67,89.6,0,0,30,25,0,0,15,10,18,0,27,2,0,37.6,55,86,72,72,29,29,72,47,25,188.0,29,14,15,93.3,127,0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,127,127,0,0,0,0,0,0,0,0,72,47,25
259,80757,176,83,93,89.2,2,3,13,0,18,33,16,5,13,20,25,26,2,45.6,18,158,158,155,61,53,158,71,87,81.6,53,30,23,130.4,176,0,176,167,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,9,0,0,0,0,0,0,0,176,167,0,0,9,0,0,0,0,0,149,68,81
260,80758,"3,535","1,813","1,722",105.3,154,389,166,272,149,318,462,459,267,249,352,207,91,42.2,889,"2,765","2,646","2,550",761,650,"2,646","1,371","1,275",107.5,650,288,362,79.6,"3,282",253,"3,282","3,117",8,32,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,124,253,0,8,0,233,0,0,"3,358",8,52,1,0,369,683,661,0,0,22,"2,852","2,760",8,32,0,0,25,27,19,8,"2,372","1,201","1,171"
261,80759,"4,657","2,301","2,356",97.7,432,302,448,160,292,794,383,603,213,281,361,268,120,33.1,"1,288","3,388","3,369","3,290",934,749,"3,369","1,634","1,735",94.2,749,337,412,81.8,"3,880",777,"3,880","3,753",0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,777,0,5,0,772,0,0,"4,530",0,70,0,0,834,"1,594","1,466",0,0,128,"3,063","2,995",0,65,0,0,0,3,0,3,"2,760","1,345","1,415"
262,80801,91,41,50,82.0,2,0,0,9,2,8,3,5,14,22,10,7,9,61.1,10,89,81,80,29,26,81,37,44,84.1,26,11,15,73.3,91,0,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,91,91,0,0,0,0,0,0,0,0,81,37,44
263,80802,173,84,89,94.4,0,26,38,5,0,0,74,8,8,0,11,3,0,41.6,69,104,104,104,14,14,104,58,46,126.1,14,3,11,27.3,126,47,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,47,0,0,173,0,0,0,0,47,47,47,0,0,0,126,126,0,0,0,0,0,0,0,0,81,46,35
264,80804,297,147,150,98.0,15,26,18,17,23,18,28,45,7,42,32,19,7,47.3,76,221,221,218,67,58,221,99,122,81.1,58,32,26,123.1,281,16,281,265,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,2,0,12,0,0,281,0,19,0,0,15,9,9,0,0,0,288,256,0,15,0,0,1,16,12,4,218,99,119
265,80805,400,191,209,91.4,26,44,45,12,9,24,39,36,28,42,30,59,6,45.3,123,280,277,266,117,95,277,136,141,96.5,95,39,56,69.6,344,56,344,272,0,3,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,64,56,0,14,36,6,0,0,328,0,17,41,0,70,75,64,0,0,11,325,267,0,3,4,0,4,47,0,47,263,127,136
266,80807,"4,267","2,095","2,172",96.5,255,353,325,239,253,537,604,442,233,307,463,114,142,38.1,"1,123","3,268","3,144","3,023",965,719,"3,144","1,518","1,626",93.4,719,346,373,92.8,"4,048",219,"4,048","3,625",2,16,0,10,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,398,219,0,105,19,80,3,0,"3,841",5,136,28,0,488,"1,007",984,0,0,23,"3,260","3,085",2,10,7,0,15,141,13,128,"2,945","1,386","1,559"
267,80808,"6,511","3,300","3,211",102.8,352,397,503,484,245,549,987,926,547,242,804,395,80,41.5,"1,544","5,154","4,967","4,729","1,427","1,279","4,967","2,496","2,471",101.0,"1,279",615,664,92.6,"5,779",732,"5,779","5,427",184,24,0,0,0,0,20,0,15,0,5,0,0,0,0,0,0,0,0,124,732,85,62,70,479,33,0,"6,126",305,119,90,0,606,"1,113",713,87,0,313,"5,398","4,882",141,0,20,0,13,342,125,217,"4,792","2,473","2,319"
268,80809,966,514,452,113.7,40,18,19,0,99,95,56,97,100,174,172,68,28,58.1,77,889,889,884,384,268,889,477,412,115.8,268,117,151,77.5,920,46,920,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,0,0,5,19,0,0,962,0,0,27,0,45,50,50,0,0,0,916,911,0,0,0,0,0,5,0,5,889,477,412
269,80810,"1,170",572,598,95.7,80,85,79,60,29,101,143,126,109,108,164,64,22,45.5,279,915,891,859,335,250,891,458,433,105.8,250,127,123,103.3,"1,042",128,"1,042","1,001",8,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,30,128,27,29,3,69,0,0,"1,129",35,29,6,0,99,155,141,0,0,14,"1,015",906,8,0,3,0,2,96,38,58,859,437,422
270,80812,306,200,106,188.7,0,62,27,21,2,14,54,27,24,32,23,17,3,39.5,104,217,202,194,72,43,202,118,84,140.5,43,27,16,168.8,277,29,277,268,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,29,0,0,0,29,0,0,297,0,0,1,0,37,129,129,0,0,0,177,172,0,0,1,0,0,4,4,0,162,95,67
271,80813,"1,747",867,880,98.5,59,109,142,56,58,114,301,215,92,125,315,127,34,47.9,355,"1,437","1,392","1,381",572,476,"1,392",728,664,109.6,476,234,242,96.7,"1,575",172,"1,575","1,541",25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,44,0,106,0,0,"1,713",47,75,0,0,106,353,184,0,11,158,"1,394","1,294",25,9,0,0,0,66,0,66,"1,382",718,664
272,80814,"3,485","1,934","1,551",124.7,40,81,27,44,89,226,319,818,279,414,810,334,4,56.6,148,"3,337","3,337","3,267","1,489","1,148","3,337","1,786","1,551",115.2,"1,148",705,443,159.1,"3,117",368,"3,117","3,020",1,91,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,368,57,139,25,147,0,0,"3,388",58,230,30,0,147,391,28,0,0,363,"3,094","2,887",1,0,5,0,0,201,0,201,"3,331","1,780","1,551"
273,80815,852,376,476,79.0,38,35,56,54,24,71,133,75,79,83,84,51,69,49.5,167,701,685,669,265,204,685,317,368,86.1,204,108,96,112.5,834,18,834,831,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,5,3,0,0,0,849,10,8,3,0,0,14,4,10,0,0,838,830,0,3,0,0,0,5,0,5,684,317,367
274,80816,"6,796","3,293","3,503",94.0,211,433,395,259,170,594,695,838,774,941,"1,114",322,50,53.5,"1,298","5,618","5,498","5,476","1,776","1,486","5,498","2,654","2,844",93.3,"1,486",683,803,85.1,"6,439",357,"6,439","6,370",41,0,0,0,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,357,2,235,0,120,0,0,"6,727",43,235,28,0,120,514,332,0,0,182,"6,282","5,951",41,0,28,0,0,262,25,237,"5,464","2,654","2,810"
275,80817,"31,132","15,634","15,498",100.9,"2,208","2,070","2,976","2,179","2,644","5,433","5,085","3,380","1,871",969,"1,524",554,239,31.2,"8,841","23,228","22,291","21,326","2,919","2,317","22,291","11,216","11,075",101.3,"2,317","1,145","1,172",97.7,"27,276","3,856","27,276","22,048","2,669",351,4,0,289,0,720,0,66,386,0,145,0,123,122,0,0,73,49,"1,366","3,856",572,337,272,"1,641",144,60,"25,585","3,899","1,359","1,097",372,"3,394","8,269","4,578","1,266",205,"2,220","22,863","17,943","2,514",97,705,73,20,"1,511",139,"1,372","21,480","10,926","10,554"
276,80818,389,207,182,113.7,27,19,55,36,1,35,22,60,35,23,32,32,12,45.0,132,260,257,252,86,76,257,144,113,127.4,76,41,35,117.1,383,6,383,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,389,3,3,0,0,3,0,0,0,0,0,389,383,0,0,0,0,0,6,3,3,257,144,113
277,80819,701,343,358,95.8,4,0,7,77,26,202,57,106,14,82,96,30,0,36.8,62,682,639,593,183,126,639,328,311,105.5,126,46,80,57.5,672,29,672,625,29,0,0,0,0,0,8,0,0,0,0,8,0,0,5,0,0,0,5,5,29,4,11,12,2,0,0,654,33,11,20,5,7,41,10,1,0,30,660,621,3,0,8,5,0,23,0,23,639,328,311
278,80820,512,272,240,113.3,5,8,0,5,0,38,7,41,148,51,199,10,0,61.4,18,499,494,494,251,209,494,259,235,110.2,209,138,71,194.4,503,9,503,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,0,0,9,0,0,491,0,0,0,0,30,30,21,0,0,9,482,482,0,0,0,0,0,0,0,0,475,240,235
279,80821,"1,319",658,661,99.5,94,80,144,79,45,159,151,179,28,101,97,88,74,37.4,382,992,937,922,303,259,937,467,470,99.4,259,113,146,77.4,"1,281",38,"1,281","1,247",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,38,7,24,0,2,0,0,"1,280",23,24,5,5,20,37,22,0,0,15,"1,282","1,229",16,0,0,0,0,37,1,36,929,461,468
280,80822,283,148,135,109.6,26,13,9,4,9,28,33,18,11,33,37,34,28,56.8,50,235,233,231,128,99,233,127,106,119.8,99,60,39,153.8,273,10,273,236,0,0,0,0,0,0,24,8,0,16,0,0,0,0,13,13,0,0,0,0,10,0,0,0,0,0,0,236,10,0,24,23,0,40,3,37,0,0,243,233,0,0,0,0,0,10,0,10,233,127,106
281,80823,211,88,123,71.5,17,18,20,4,2,18,7,23,12,18,36,18,18,51.5,59,156,152,152,79,72,152,64,88,72.7,72,33,39,84.6,211,0,211,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,210,0,0,0,0,1,0,0,0,0,0,211,210,0,0,0,0,1,0,0,0,152,64,88
282,80824,379,206,173,119.1,48,48,2,2,3,19,47,57,21,35,77,11,9,47.4,100,281,279,279,116,97,279,152,127,119.7,97,44,53,83.0,264,115,264,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,50,0,65,0,0,379,0,50,0,0,65,65,65,0,0,0,314,264,0,0,0,0,0,50,0,50,279,152,127
283,80825,346,180,166,108.4,38,23,3,22,13,50,49,19,19,42,53,14,1,42.2,83,281,263,260,100,68,263,154,109,141.3,68,46,22,209.1,324,22,324,311,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,22,0,12,0,7,0,1,331,10,13,0,5,10,4,2,0,0,2,342,311,8,0,0,5,0,18,6,12,263,154,109
