,ZCTA,Total population,Total population Male,Total population Female,Total population Sex ratio (males per 100 females),Total population Under 5 years,Total population 5 to 9 years,Total population 10 to 14 years,Total population 15 to 19 years,Total population 20 to 24 years,Total population 25 to 34 years,Total population 35 to 44 years,Total population 45 to 54 years,Total population 55 to 59 years,Total population 60 to 64 years,Total population 65 to 74 years,Total population 75 to 84 years,Total population 85 years and over,Total population Median age (years),Total population Under 18 years,Total population 16 years and over,Total population 18 years and over,Total population 21 years and over,Total population 62 years and over,Total population 65 years and over,Total population 18 years and over.1,Total population 18 years and over Male,Total population 18 years and over Female,Total population 18 years and over Sex ratio (males per 100 females),Total population 65 years and over.1,Total population 65 years and over Male,Total population 65 years and over Female,Total population 65 years and over Sex ratio (males per 100 females),Total population One race,Total population Two or More Races,Total population One race.1,Total population One race White,Total population One race Black or African American,Total population One race American Indian and Alaska Native,Total population One race American Indian and Alaska Native Cherokee tribal grouping,Total population One race American Indian and Alaska Native Chippewa tribal grouping,Total population One race American Indian and Alaska Native Navajo tribal grouping,Total population One race American Indian and Alaska Native Sioux tribal grouping,Total population One race Asian,Total population One race Asian Asian Indian,Total population One race Asian Chinese,Total population One race Asian Filipino,Total population One race Asian Japanese,Total population One race Asian Korean,Total population One race Asian Vietnamese,Total population One race Asian Other Asian,Total population One race Native Hawaiian and Other Pacific Islander,Total population One race Native Hawaiian and Other Pacific Islander Chamorro,Total population One race Native Hawaiian and Other Pacific Islander Native Hawaiian,Total population One race Native Hawaiian and Other Pacific Islander Samoan,Total population One race Native Hawaiian and Other Pacific Islander Other Native Hawaiian and Other Pacific Islander,Total population One race Some Other Race,Total population Two or More Races.1,Total population Two or More Races White and Black or African American,Total population Two or More Races White and American Indian and Alaska Native,Total population Two or More Races White and Asian,Total population Two or More Races White and Some Other Race,Total population Two or More Races Black or African American and American Indian and Alaska Native,Total population Two or More Races Black or African American and Some Other Race,Total population White,Total population Black or African American,Total population American Indian and Alaska Native,Total population Asian,Total population Native Hawaiian and Other Pacific Islander,Total population Some Other Race,Total population Hispanic or Latino (of any race),Total population Hispanic or Latino (of any race) Mexican,Total population Hispanic or Latino (of any race) Puerto Rican,Total population Hispanic or Latino (of any race) Cuban,Total population Hispanic or Latino (of any race) Other Hispanic or Latino,Total population Not Hispanic or Latino,Total population Not Hispanic or Latino White alone,Total population Not Hispanic or Latino Black or African American alone,Total population Not Hispanic or Latino American Indian and Alaska Native alone,Total population Not Hispanic or Latino Asian alone,Total population Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Total population Not Hispanic or Latino Some Other Race alone,Total population Not Hispanic or Latino Two or More Races,Total population Not Hispanic or Latino Two or More Races Two races including Some Other Race,"Total population Not Hispanic or Latino Two or More Races Two races excluding Some Other Race, and three or more races","Citizen, 18 and over population","Citizen, 18 and over population Male","Citizen, 18 and over population Female"
67,80206,"24,903","12,449","12,454",100.0,867,982,652,497,891,"7,407","3,943","3,001","1,413","1,285","2,341","1,222",402,37.4,"2,809","22,329","22,094","21,812","4,674","3,965","22,094","10,912","11,182",97.6,"3,965","1,925","2,040",94.4,"22,911","1,992","22,911","20,654","1,054",16,0,0,0,16,744,109,337,25,44,127,73,29,0,0,0,0,0,443,"1,992",164,211,592,632,0,17,"22,543","1,394",445,"1,444",142,"1,248","2,291","1,239",107,214,731,"22,612","19,542","1,044",16,732,0,83,"1,195",87,"1,108","21,442","10,633","10,809"
68,80207,"22,313","10,406","11,907",87.4,"1,249","1,275","1,670","1,193",805,"3,446","3,979","3,133","1,174",994,"1,912","1,053",430,37.4,"5,063","17,949","17,250","16,814","4,029","3,395","17,250","7,793","9,457",82.4,"3,395","1,130","2,265",49.9,"19,567","2,746","19,567","11,933","5,682",59,6,0,0,5,288,71,77,18,31,50,0,41,18,0,0,0,18,"1,587","2,746",510,26,200,"1,543",28,62,"14,568","6,527",169,578,131,"3,357","4,236","3,281",54,59,842,"18,077","10,190","5,592",40,288,18,206,"1,743",677,"1,066","16,391","7,384","9,007"
69,80209,"25,180","12,527","12,653",99.0,"1,207",830,528,592,861,"7,106","4,275","2,823","1,193","1,071","2,594","1,305",795,37.3,"3,042","22,493","22,138","21,980","5,423","4,694","22,138","11,114","11,024",100.8,"4,694","2,024","2,670",75.8,"23,508","1,672","23,508","22,356",163,93,13,0,39,0,606,159,159,66,46,97,20,59,0,0,0,0,0,290,"1,672",258,226,443,531,108,0,"23,883",575,499,"1,118",44,821,"1,611",817,23,219,552,"23,569","21,638",163,68,606,0,47,"1,047",121,926,"21,335","10,487","10,848"
70,80210,"37,792","18,813","18,979",99.1,"1,808","1,709","1,471","2,817","3,756","7,190","5,943","4,253","1,910","2,234","3,180",953,568,35.2,"5,795","32,571","31,997","29,112","6,061","4,701","31,997","15,816","16,181",97.7,"4,701","2,260","2,441",92.6,"34,862","2,930","34,862","30,991",951,169,0,0,34,3,"1,529",236,508,98,100,330,90,167,6,6,0,0,0,"1,216","2,930",339,461,745,870,15,0,"33,729","1,621",986,"2,441",19,"2,261","3,954","2,073",178,143,"1,560","33,838","29,283",938,106,"1,515",6,121,"1,869",164,"1,705","31,105","15,382","15,723"
71,80211,"36,187","17,824","18,363",97.1,"1,731","1,467",872,832,"1,552","12,780","6,821","3,921","1,702",951,"2,337",775,446,33.8,"4,556","31,992","31,631","31,207","4,111","3,558","31,631","15,566","16,065",96.9,"3,558","1,527","2,031",75.2,"31,981","4,206","31,981","27,267",679,596,0,0,92,182,825,129,150,68,110,85,70,213,20,0,4,0,16,"2,594","4,206",479,486,461,"2,163",29,9,"31,345","1,307","1,544","1,476",66,"5,172","8,591","6,170",318,101,"2,002","27,596","24,190",656,127,801,20,99,"1,703",482,"1,221","30,047","14,692","15,355"
72,80212,"20,418","10,002","10,416",96.0,"1,286",823,926,560,588,"4,329","4,057","2,801","1,378","1,018","1,902",621,129,37.8,"3,524","17,139","16,894","16,807","3,273","2,652","16,894","8,286","8,608",96.3,"2,652","1,155","1,497",77.2,"18,778","1,640","18,778","17,017",234,59,17,0,0,0,727,21,96,45,120,33,345,67,29,29,0,0,0,712,"1,640",73,108,314,893,0,0,"18,626",395,204,"1,220",89,"1,745","4,102","2,870",189,47,996,"16,316","14,788",182,18,680,29,3,616,89,527,"16,437","8,107","8,330"
73,80214,"26,634","13,589","13,045",104.2,"1,037","1,155",960,737,"2,003","7,016","5,018","2,504","1,342","1,459","2,292",736,375,35.6,"3,422","23,391","23,212","22,349","4,367","3,403","23,212","12,071","11,141",108.3,"3,403","1,350","2,053",65.8,"23,158","3,476","23,158","20,156",563,431,40,0,135,12,451,61,54,28,0,29,188,91,0,0,0,0,0,"1,557","3,476",356,459,99,"2,090",158,23,"23,327","1,204","1,184",589,24,"3,925","9,013","6,851",149,143,"1,870","17,621","15,466",558,183,411,0,31,972,156,816,"21,361","10,966","10,395"
74,80215,"19,143","9,430","9,713",97.1,"1,152",830,814,820,"1,284","3,371","2,181","1,863","1,259","1,317","2,269","1,294",689,39.9,"3,335","16,163","15,808","15,150","4,986","4,252","15,808","7,491","8,317",90.1,"4,252","1,778","2,474",71.9,"17,666","1,477","17,666","15,702",264,355,11,0,96,107,562,92,52,114,98,46,121,39,164,63,89,12,0,619,"1,477",201,145,216,710,39,36,"17,006",569,558,876,174,"1,469","2,471","1,859",157,18,437,"16,672","14,768",229,153,506,164,18,834,269,565,"15,507","7,314","8,193"
75,80216,"16,564","9,560","7,004",136.5,641,787,"1,095","1,138","2,584","4,070","2,371","1,721",879,394,588,239,57,29.2,"3,051","13,927","13,513","12,484","1,144",884,"13,513","8,076","5,437",148.5,884,442,442,100.0,"14,713","1,851","14,713","8,360","1,275",127,2,0,2,0,236,16,41,50,41,36,35,17,0,0,0,0,0,"4,715","1,851",215,114,67,"1,072",47,132,"9,918","1,701",473,322,43,"6,080","9,163","7,394",49,17,"1,703","7,401","5,358","1,235",100,185,0,113,410,52,358,"11,640","6,918","4,722"
76,80218,"18,679","9,141","9,538",95.8,287,359,120,372,"1,102","6,633","3,267","2,326",752,"1,081","1,607",494,279,36.0,965,"17,889","17,714","17,462","2,859","2,380","17,714","8,621","9,093",94.8,"2,380","1,020","1,360",75.0,"17,343","1,336","17,343","15,748",689,149,9,0,76,2,418,74,28,16,52,18,33,197,0,0,0,0,0,339,"1,336",82,144,421,401,0,61,"16,851",840,409,931,43,996,"1,620",933,160,72,455,"17,059","15,156",639,22,397,0,0,845,181,664,"17,177","8,423","8,754"
